date,shipments_total,shipments_ex_transport,shipments_ex_defense,shipments_primary_metals,shipments_fabricated_metals,shipments_machinery,shipments_computers_electronics,shipments_computers,shipments_communications,shipments_electrical,shipments_transportation,shipments_motor_vehicles,shipments_nondef_aircraft,shipments_defense_aircraft,shipments_other_durables,shipments_capital_goods,shipments_nondef_capital,shipments_core_capital,shipments_defense_capital,orders_total,orders_ex_transport,orders_ex_defense,orders_primary_metals,orders_fabricated_metals,orders_machinery,orders_computers_electronics,orders_computers,orders_communications,orders_electrical,orders_transportation,orders_motor_vehicles,orders_nondef_aircraft,orders_defense_aircraft,orders_other_durables,orders_capital_goods,orders_nondef_capital,orders_core_capital,orders_defense_capital,unfilled_total,unfilled_ex_transport,unfilled_ex_defense,unfilled_primary_metals,unfilled_fabricated_metals,unfilled_machinery,unfilled_computers_electronics,unfilled_electrical,unfilled_transportation,unfilled_motor_vehicles,unfilled_nondef_aircraft,unfilled_defense_aircraft,unfilled_other_durables,unfilled_capital_goods,unfilled_core_capital,inventory_total,inventory_ex_transport,inventory_ex_defense,inventory_primary_metals,inventory_fabricated_metals,inventory_machinery,inventory_computers_electronics,inventory_electrical,inventory_transportation,inventory_motor_vehicles,inventory_nondef_aircraft,inventory_defense_aircraft,inventory_other_durables,inventory_capital_goods,inventory_core_capital
1993-09-30,134181.0,97556.0,126253.0,10709.0,15031.0,17239.0,24269.0,3331.0,3601.0,7384.0,36625.0,25718.0,3575.0,2979.0,22924.0,48263.0,41210.0,39656.0,7053.0,127233.0,94082.0,120779.0,10836.0,15065.0,17396.0,20750.0,2929.0,3904.0,7609.0,33151.0,25746.0,1691.0,2200.0,22426.0,45823.0,40238.0,42777.0,5585.0,434328.0,290757.0,290757.0,20817.0,27864.0,41523.0,82634.0,12640.0,241523.0,12306.0,117267.0,46471.0,7327.0,306248.0,92547.0,238954.0,173134.0,212365.0,18399.0,25887.0,36454.0,43891.0,12426.0,65820.0,17638.0,23808.0,16218.0,36077.0,120401.0,79377.0
1993-10-31,137961.0,98311.0,129575.0,10790.0,15364.0,16924.0,24467.0,3299.0,3715.0,7588.0,39650.0,27571.0,4494.0,3092.0,23178.0,49817.0,42214.0,39814.0,7603.0,133168.0,96033.0,125808.0,10919.0,15188.0,17276.0,22212.0,3514.0,4038.0,7546.0,37135.0,27808.0,2818.0,2665.0,22892.0,48835.0,41835.0,39880.0,7000.0,432381.0,289836.0,289836.0,20946.0,27688.0,41875.0,83225.0,12598.0,239008.0,12543.0,115591.0,46044.0,7041.0,305266.0,93283.0,238728.0,173793.0,212518.0,18316.0,25978.0,36793.0,44136.0,12386.0,64935.0,17859.0,23471.0,15844.0,36184.0,119908.0,79510.0
1993-11-30,137581.0,99202.0,129532.0,10906.0,15272.0,17379.0,24783.0,3321.0,3692.0,7497.0,38379.0,27126.0,3890.0,2800.0,23365.0,49192.0,41916.0,40070.0,7276.0,130391.0,94450.0,124269.0,10830.0,14524.0,17210.0,21504.0,3808.0,4161.0,7549.0,35941.0,27254.0,2946.0,2737.0,22833.0,46796.0,41711.0,40104.0,5085.0,428393.0,287775.0,287775.0,20870.0,26940.0,41706.0,83148.0,12650.0,236570.0,12671.0,114647.0,45981.0,6509.0,302870.0,93514.0,238903.0,173461.0,212569.0,18097.0,25939.0,36812.0,43957.0,12463.0,65442.0,18080.0,23184.0,16127.0,36193.0,119538.0,79341.0
1993-12-31,139595.0,101044.0,132069.0,10811.0,15505.0,18823.0,24839.0,3606.0,3822.0,7368.0,38551.0,27299.0,4307.0,2628.0,23698.0,50535.0,43788.0,41523.0,6747.0,133565.0,97857.0,127594.0,10659.0,16356.0,19964.0,19601.0,3190.0,3763.0,7412.0,35708.0,27955.0,587.0,3192.0,23865.0,46930.0,42306.0,47061.0,4624.0,425607.0,286544.0,286544.0,20718.0,27791.0,42847.0,81154.0,12694.0,233727.0,13327.0,110927.0,46545.0,6676.0,299265.0,95287.0,238719.0,174447.0,213784.0,18081.0,26224.0,37054.0,43974.0,12494.0,64272.0,18158.0,23087.0,15018.0,36620.0,118460.0,79585.0
1994-01-31,141207.0,100249.0,133502.0,10828.0,15610.0,17233.0,25147.0,3400.0,3893.0,7756.0,40958.0,29372.0,4470.0,3061.0,23675.0,49549.0,42683.0,40254.0,6866.0,138498.0,97250.0,130159.0,10842.0,15603.0,17444.0,21516.0,3411.0,3801.0,7807.0,41248.0,29293.0,4432.0,3226.0,24038.0,51053.0,42651.0,35603.0,8402.0,426329.0,286632.0,286632.0,20732.0,27784.0,43058.0,80954.0,12745.0,234017.0,13248.0,110889.0,46710.0,7039.0,300769.0,94834.0,240358.0,175397.0,214817.0,18150.0,26254.0,37501.0,43999.0,12537.0,64961.0,18290.0,23172.0,15211.0,36956.0,119499.0,79777.0
1994-02-28,141669.0,101586.0,134341.0,11073.0,15389.0,17947.0,25702.0,3647.0,4018.0,7828.0,40083.0,29178.0,4063.0,2804.0,23647.0,49921.0,43349.0,41273.0,6572.0,137141.0,98720.0,131270.0,11246.0,15294.0,18254.0,22300.0,3746.0,4587.0,7955.0,38421.0,29476.0,3324.0,2317.0,23671.0,48583.0,43144.0,40979.0,5439.0,425325.0,287085.0,287085.0,20905.0,27689.0,43365.0,81076.0,12872.0,232355.0,13546.0,110150.0,46223.0,7063.0,299431.0,95297.0,240919.0,176443.0,215362.0,18260.0,26640.0,37535.0,44245.0,12541.0,64476.0,18437.0,22692.0,14890.0,37222.0,119519.0,80091.0
1994-03-31,141220.0,101346.0,133935.0,10976.0,15817.0,17743.0,25168.0,3662.0,4056.0,7743.0,39874.0,28847.0,4355.0,2960.0,23899.0,49376.0,42981.0,40601.0,6395.0,136548.0,98497.0,131368.0,11727.0,16330.0,17949.0,20509.0,3464.0,3998.0,7799.0,38051.0,29384.0,2262.0,2222.0,24183.0,46234.0,41545.0,45806.0,4689.0,424271.0,288136.0,288136.0,21656.0,28202.0,43571.0,80035.0,12928.0,230532.0,14083.0,108057.0,45485.0,7347.0,296289.0,95941.0,241453.0,177449.0,216417.0,18347.0,26364.0,37798.0,44891.0,12582.0,64004.0,18283.0,22791.0,14371.0,37467.0,120321.0,80975.0
1994-04-30,143829.0,103550.0,136532.0,11268.0,15849.0,17920.0,26451.0,3814.0,4145.0,7950.0,40279.0,29504.0,3887.0,2704.0,24112.0,50278.0,43687.0,41814.0,6591.0,140336.0,101101.0,134410.0,11530.0,15786.0,18595.0,22665.0,4222.0,4436.0,8129.0,39235.0,29640.0,3549.0,2343.0,24396.0,49199.0,44784.0,41284.0,4415.0,424611.0,289847.0,289847.0,21918.0,28139.0,44246.0,80082.0,13107.0,229488.0,14219.0,107719.0,45124.0,7631.0,295210.0,97119.0,242171.0,177682.0,216804.0,18396.0,26388.0,37998.0,45066.0,12648.0,64489.0,18417.0,22925.0,14490.0,37186.0,120746.0,81293.0
1994-05-31,145843.0,105032.0,138491.0,11591.0,16057.0,18610.0,26499.0,3833.0,4101.0,8034.0,40811.0,30218.0,3799.0,2723.0,24241.0,51041.0,44316.0,42432.0,6725.0,142630.0,102623.0,135316.0,12012.0,16252.0,18973.0,22505.0,4390.0,4009.0,8132.0,40007.0,30569.0,2560.0,3569.0,24749.0,50521.0,43802.0,40779.0,6719.0,425269.0,290543.0,290543.0,22339.0,28334.0,44609.0,79959.0,13205.0,228684.0,14570.0,106480.0,45970.0,8139.0,294690.0,97536.0,243814.0,178464.0,218804.0,18540.0,26503.0,38293.0,45192.0,12747.0,65350.0,18752.0,23836.0,13886.0,37189.0,121579.0,81670.0
1994-06-30,146152.0,104917.0,139067.0,11733.0,15937.0,18804.0,26298.0,3984.0,4072.0,7954.0,41235.0,30357.0,4077.0,2659.0,24191.0,51014.0,44687.0,42693.0,6327.0,145063.0,104475.0,138289.0,12102.0,16443.0,20095.0,23421.0,3815.0,4347.0,8137.0,40588.0,30483.0,3662.0,3172.0,24277.0,52618.0,46475.0,49067.0,6143.0,427978.0,293563.0,293563.0,22708.0,28840.0,45900.0,80880.0,13388.0,228037.0,14696.0,106065.0,46483.0,8225.0,296294.0,99398.0,245144.0,180203.0,220438.0,18648.0,26792.0,38655.0,45860.0,12908.0,64941.0,19011.0,23583.0,13570.0,37340.0,122109.0,82548.0
