date,total_construction_sa,total_construction_nsa,total_private_sa,total_private_nsa,total_public_sa,total_public_nsa,residential_total_sa,residential_total_nsa,residential_private_sa,residential_private_nsa,residential_public_sa,residential_public_nsa,nonresidential_total_sa,nonresidential_total_nsa,nonresidential_private_sa,nonresidential_private_nsa,nonresidential_public_sa,nonresidential_public_nsa,manufacturing_total_sa,manufacturing_private_sa,commercial_total_sa,commercial_private_sa,commercial_public_sa,office_total_sa,office_private_sa,office_public_sa,healthcare_total_sa,healthcare_private_sa,healthcare_public_sa,educational_total_sa,educational_private_sa,educational_public_sa,power_total_sa,power_private_sa,power_public_sa,highway_total_sa,highway_public_sa,transportation_total_sa,transportation_private_sa,transportation_public_sa
2023-08-01,2108452.0,194791.0,1644639.0,148397.0,463813.0,46394.0,892106.0,83284.0,880985.0,82281.0,11121.0,1003.0,1216346.0,111507.0,763653.0,66116.0,452693.0,45391.0,206423.0,206082.0,153969.0,149654.0,4315.0,103302.0,87440.0,15862.0,66574.0,53616.0,12958.0,125908.0,24423.0,101485.0,156905.0,138419.0,18486.0,141137.0,140223.0,65255.0,20296.0,44959.0
2023-09-01,2117176.0,189529.0,1645484.0,144037.0,471692.0,45492.0,889101.0,79031.0,878008.0,78029.0,11093.0,1002.0,1228075.0,110498.0,767476.0,66008.0,460599.0,44489.0,205054.0,204657.0,155765.0,151019.0,4746.0,103348.0,87800.0,15548.0,67853.0,54452.0,13400.0,127826.0,24639.0,103187.0,160706.0,141916.0,18790.0,143959.0,142861.0,65525.0,19883.0,45643.0
2023-10-01,2139594.0,187152.0,1661309.0,143341.0,478285.0,43811.0,894030.0,77052.0,882716.0,76078.0,11313.0,974.0,1245564.0,110099.0,778593.0,67263.0,466971.0,42836.0,218795.0,218447.0,151023.0,146243.0,4781.0,103478.0,87815.0,15663.0,67855.0,54514.0,13341.0,130927.0,24572.0,106355.0,162686.0,143774.0,18912.0,145338.0,144249.0,65262.0,20390.0,44872.0
2023-11-01,2170325.0,178500.0,1684249.0,138767.0,486076.0,39733.0,905341.0,73300.0,894367.0,72381.0,10975.0,919.0,1264984.0,105200.0,789883.0,66386.0,475101.0,38814.0,226885.0,226521.0,150539.0,146056.0,4483.0,104584.0,88346.0,16238.0,68802.0,55254.0,13548.0,132278.0,25720.0,106558.0,162977.0,144095.0,18882.0,151731.0,150586.0,65626.0,21089.0,44537.0
2023-12-01,2174846.0,163333.0,1683572.0,128908.0,491274.0,34424.0,903437.0,64837.0,892203.0,63991.0,11233.0,846.0,1271409.0,98495.0,791368.0,64917.0,480041.0,33578.0,230263.0,229932.0,148719.0,143947.0,4772.0,103886.0,87235.0,16650.0,69612.0,55268.0,14344.0,132100.0,25937.0,106163.0,165432.0,145630.0,19802.0,154246.0,152771.0,65423.0,20716.0,44707.0
2024-01-01,2191633.0,156880.0,1703229.0,125302.0,488404.0,31578.0,926473.0,64378.0,914983.0,63538.0,11490.0,840.0,1265159.0,92502.0,788246.0,61764.0,476914.0,30738.0,233759.0,233135.0,142852.0,138500.0,4352.0,104192.0,87227.0,16964.0,69550.0,55735.0,13815.0,131807.0,26086.0,105721.0,165888.0,145089.0,20799.0,150446.0,149247.0,67281.0,21807.0,45474.0
2024-02-01,2220925.0,160631.0,1722695.0,127767.0,498230.0,32864.0,943046.0,66208.0,931576.0,65330.0,11470.0,878.0,1277879.0,94423.0,791119.0,62437.0,486760.0,31987.0,235216.0,234617.0,145636.0,140998.0,4638.0,106115.0,89029.0,17086.0,68555.0,54865.0,13690.0,134801.0,26462.0,108339.0,165845.0,143616.0,22229.0,151922.0,150916.0,67458.0,21234.0,46224.0
2024-03-01,2214113.0,173869.0,1721473.0,138831.0,492640.0,35038.0,937578.0,74863.0,925783.0,73935.0,11795.0,928.0,1276535.0,99007.0,795690.0,64896.0,480845.0,34111.0,238676.0,237892.0,144274.0,139590.0,4685.0,105493.0,88947.0,16546.0,68917.0,55022.0,13895.0,134245.0,26755.0,107490.0,168520.0,146098.0,22422.0,146145.0,144882.0,66566.0,21384.0,45182.0
2024-04-01,2220689.0,183109.0,1718967.0,143523.0,501722.0,39586.0,944236.0,79226.0,932703.0,78270.0,11533.0,956.0,1276453.0,103883.0,786264.0,65253.0,490190.0,38630.0,242376.0,241693.0,138122.0,133382.0,4740.0,102038.0,85609.0,16429.0,67739.0,53685.0,14055.0,136522.0,26464.0,110058.0,166583.0,145640.0,20942.0,149777.0,148522.0,65721.0,19644.0,46077.0
2024-05-01,2232845.0,194754.0,1730052.0,150792.0,502793.0,43962.0,952483.0,85527.0,941013.0,84528.0,11470.0,999.0,1280362.0,109227.0,789040.0,66264.0,491323.0,42963.0,243306.0,242393.0,135726.0,130516.0,5210.0,105638.0,89114.0,16524.0,69251.0,54767.0,14484.0,138287.0,26055.0,112232.0,165956.0,146006.0,19950.0,147945.0,146608.0,66228.0,19784.0,46444.0
2024-06-01,2238643.0,202439.0,1740057.0,155248.0,498586.0,47191.0,952343.0,88299.0,941035.0,87298.0,11308.0,1001.0,1286300.0,114139.0,799022.0,67950.0,487278.0,46190.0,248899.0,247995.0,135444.0,129739.0,5706.0,109058.0,92969.0,16089.0,69615.0,54850.0,14766.0,140490.0,27471.0,113019.0,165265.0,145664.0,19601.0,142236.0,140978.0,66233.0,19683.0,46549.0
2024-07-01,2240441.0,204902.0,1731099.0,155356.0,509341.0,49546.0,945064.0,88545.0,934361.0,87576.0,10703.0,969.0,1295377.0,116357.0,796738.0,67780.0,498638.0,48577.0,248230.0,247030.0,133720.0,127907.0,5813.0,110467.0,93625.0,16842.0,69470.0,54764.0,14706.0,142417.0,27100.0,115317.0,164227.0,145385.0,18842.0,146875.0,145757.0,67519.0,20396.0,47123.0
