date,p50,p2_5,p97_5,p16,p84
2011-12-20,-0.939392,-1.838725,-0.0434,-1.362874,-0.513304
2011-12-28,-1.35869,-2.26765,-0.477318,-1.800976,-0.921615
2012-01-10,-1.254051,-2.144198,-0.293179,-1.702529,-0.790502
2012-01-18,-1.406316,-2.868488,0.534507,-2.045238,-0.614995
2012-01-25,-1.532524,-2.564415,-0.473209,-2.062272,-1.024984
2012-02-06,-1.832527,-4.649883,0.127228,-3.172043,-0.848058
2012-02-13,-0.965555,-2.101019,0.272275,-1.541613,-0.366278
2012-02-21,-0.304603,-1.744354,4.429423,-1.172386,1.89829
2012-03-02,-0.968837,-2.094125,0.29329,-1.523965,-0.371669
2012-03-09,-1.04241,-2.186962,0.263115,-1.598615,-0.420419
2012-03-16,-0.99248,-2.244513,0.348806,-1.596587,-0.350034
2012-03-23,-0.967676,-2.246435,0.476509,-1.636627,-0.294199
2012-04-04,-0.97724,-2.120053,0.354596,-1.554587,-0.371424
2012-04-11,-0.956426,-2.275615,0.450797,-1.612187,-0.288554
2012-04-18,-0.919827,-2.108887,0.322137,-1.531856,-0.300316
2012-04-25,-1.070009,-2.249861,0.218402,-1.674509,-0.456719
2012-05-07,-1.030316,-2.25144,0.336321,-1.65822,-0.341435
2012-05-14,-1.130992,-2.329448,0.154956,-1.721899,-0.488984
2012-05-21,-1.038804,-2.257001,0.302066,-1.642693,-0.406987
2012-05-29,-0.913558,-2.043509,0.278344,-1.472134,-0.317262
2012-06-08,-0.805904,-2.021679,0.507306,-1.432786,-0.185946
2012-06-15,-0.80578,-2.053868,0.642711,-1.424052,-0.112019
2012-06-22,-0.607842,-1.732314,0.712453,-1.205367,0.005076
2012-07-05,-0.663754,-1.785711,0.744905,-1.231769,-0.003352
2012-07-12,-0.363776,-1.587558,1.110897,-1.003145,0.321203
2012-07-19,-0.603499,-1.85883,0.876777,-1.250902,0.102004
2012-07-26,-0.755473,-2.024232,0.658831,-1.370891,-0.081606
2012-08-07,-0.749918,-1.932321,0.718074,-1.37412,-0.064578
2012-08-14,-0.75076,-2.000348,0.669914,-1.383387,-0.077377
2012-08-21,-0.522086,-1.690808,0.833043,-1.158397,0.145954
2012-08-28,-0.334427,-1.28857,0.875413,-0.839324,0.213431
2012-09-10,-0.405543,-1.57961,1.067194,-1.032497,0.268248
2012-09-17,-0.470048,-1.685218,0.941726,-1.105641,0.184117
2012-09-24,-0.460112,-1.696445,0.904999,-1.102003,0.176865
2012-10-04,-0.499433,-1.72588,0.907835,-1.137818,0.192453
2012-10-12,-0.459648,-1.85509,0.976805,-1.140037,0.253383
2012-10-19,-0.416009,-1.68352,1.006159,-1.036997,0.259544
2012-10-26,-0.652517,-1.873978,0.711809,-1.271375,-0.000285
2012-11-07,-0.971457,-2.63744,0.45829,-1.767928,-0.240049
2012-11-15,-0.982433,-2.33368,0.409279,-1.654085,-0.321479
2012-11-23,-0.161898,-1.348499,1.251246,-0.781388,0.52705
2012-12-05,-0.15049,-1.382052,1.294001,-0.795098,0.502417
2012-12-12,0.005454,-1.232101,1.459248,-0.622614,0.674195
2012-12-19,-0.192847,-1.387125,1.248542,-0.801293,0.484333
2012-12-27,-0.53,-1.866646,1.030279,-1.185877,0.212366
2013-01-09,-0.735525,-2.074502,0.723015,-1.398199,-0.038258
2013-01-16,-0.894376,-2.146332,0.501762,-1.547045,-0.188094
2013-01-24,-1.149225,-2.45331,0.253878,-1.808917,-0.461033
2013-02-05,-0.995189,-2.34063,0.415526,-1.645381,-0.313941
2013-02-12,-1.109388,-2.320092,0.197659,-1.751543,-0.498098
2013-02-20,-0.971379,-2.178287,0.36266,-1.604409,-0.343551
2013-03-04,-1.073614,-2.552,0.402718,-1.76328,-0.351693
2013-03-11,-1.305376,-2.808168,0.168659,-2.014398,-0.599124
2013-03-18,-1.350468,-2.758094,0.01584,-2.013182,-0.687727
2013-03-25,-1.158252,-2.425107,0.208706,-1.795788,-0.500955
2013-04-04,-1.28565,-2.752164,0.106068,-2.014778,-0.564272
2013-04-11,-1.146824,-2.421009,0.215131,-1.756752,-0.506144
2013-04-18,-0.884377,-2.177567,0.468426,-1.521396,-0.198151
2013-04-25,-0.276638,-1.891642,1.802191,-1.082252,0.693901
2013-05-07,-0.882577,-2.152737,0.704848,-1.548602,-0.114557
2013-05-14,-1.023613,-2.375253,0.624907,-1.72112,-0.266887
2013-05-21,-0.978937,-2.304649,0.422563,-1.662087,-0.307128
2013-05-29,-1.046789,-2.366068,0.387069,-1.746572,-0.377307
2013-06-10,-1.073247,-2.393687,0.460117,-1.728081,-0.344417
2013-06-17,-1.204494,-2.692468,0.477035,-1.95043,-0.442731
2013-06-24,-1.141602,-2.436712,0.379853,-1.814798,-0.45856
2013-07-05,-1.08174,-2.364128,0.39429,-1.738483,-0.380967
2013-07-12,-1.057982,-2.267025,0.336819,-1.727848,-0.42113
2013-07-19,-0.895114,-2.130439,0.426529,-1.500409,-0.248192
2013-07-26,-0.475359,-1.699861,0.95157,-1.1294,0.201336
2013-08-07,-0.725848,-1.914971,0.720122,-1.335984,-0.040792
2013-08-14,-0.808526,-1.995537,0.621489,-1.430161,-0.099956
2013-08-21,-0.9199,-2.220222,0.576345,-1.581197,-0.247693
2013-08-28,-0.912293,-2.077306,0.504561,-1.528525,-0.243588
2013-09-10,-0.766455,-2.04615,0.671292,-1.427352,-0.115231
2013-09-17,-0.318619,-1.549563,1.200831,-0.982598,0.407829
2013-09-24,-0.719436,-1.958076,0.687814,-1.343452,-0.041281
2013-10-04,-0.573923,-1.836582,0.869065,-1.217247,0.121978
2013-10-11,-0.551188,-1.808129,0.961661,-1.237198,0.140815
2013-10-21,-0.48066,-1.799968,1.180362,-1.171955,0.24492
2013-10-28,-0.38053,-1.689482,1.341349,-1.067084,0.403983
2013-11-07,-0.219684,-1.579946,1.63061,-0.918062,0.575657
2013-11-15,-0.338255,-1.680338,1.384614,-1.060845,0.413522
2013-11-22,-0.298783,-1.660286,1.352488,-1.023378,0.51394
2013-12-05,-0.345667,-1.662203,1.374968,-1.021795,0.448088
2013-12-12,-0.217715,-1.591691,1.484772,-0.938074,0.590084
2013-12-19,-0.4131,-1.673802,1.112896,-1.084394,0.324579
2013-12-27,-0.224481,-1.410567,1.224893,-0.872339,0.489512
2014-01-09,-0.380887,-1.692979,1.287397,-1.032275,0.361654
2014-01-16,-0.027983,-1.209587,1.551905,-0.625822,0.692415
2014-01-24,-0.05876,-1.08886,1.201585,-0.603775,0.503299
2014-02-05,-0.054655,-1.035528,1.168431,-0.56893,0.514419
2014-02-12,-0.080749,-1.070427,1.176644,-0.583654,0.480605
2014-02-20,-0.209329,-1.294218,1.116328,-0.749358,0.393207
2014-03-04,-0.028573,-1.091386,1.28205,-0.578057,0.564116
2014-03-11,-0.08082,-1.326412,1.424295,-0.672486,0.617277
2014-03-18,0.094451,-0.871572,1.268889,-0.398928,0.630214
2014-03-25,-0.149953,-1.178478,1.161901,-0.672229,0.437127
2014-04-04,-0.217213,-1.201063,0.935007,-0.714064,0.317344
2014-04-11,-0.16134,-1.094241,0.953476,-0.654431,0.356318
2014-04-18,-0.264907,-1.268789,0.902443,-0.78973,0.290215
2014-04-25,-0.2827,-1.209749,0.864461,-0.788011,0.237531
2014-05-07,-0.200014,-1.275022,1.027959,-0.728244,0.36176
2014-05-14,-0.202433,-1.221732,0.974491,-0.720366,0.345802
2014-05-21,-0.006058,-1.018564,1.252403,-0.515128,0.57585
2014-06-03,0.190443,-0.917013,1.660291,-0.391115,0.81483
2014-06-10,0.076024,-0.939278,1.345615,-0.433516,0.656718
2014-06-17,0.112216,-0.868356,1.337889,-0.402766,0.671362
2014-06-24,0.168259,-0.734636,1.343825,-0.312445,0.691474
2014-07-07,0.116749,-0.800055,1.389597,-0.360842,0.710551
2014-07-14,-0.082302,-1.050156,1.23951,-0.569317,0.493765
2014-07-21,0.139056,-0.719367,1.238077,-0.316448,0.643063
2014-07-28,0.01683,-0.751494,0.983075,-0.370026,0.418997
2014-08-07,-0.03002,-0.797337,0.908114,-0.41475,0.399645
2014-08-14,-0.04158,-0.78292,0.900924,-0.440259,0.410404
2014-08-21,-0.032936,-0.782203,0.941901,-0.428798,0.396521
2014-09-03,0.002151,-0.775253,0.967032,-0.402964,0.44748
2014-09-10,-0.015389,-0.805432,0.973642,-0.421952,0.447416
2014-09-17,-0.015295,-0.760145,0.985604,-0.397113,0.4498
2014-09-24,0.013724,-0.729635,0.929269,-0.389029,0.453593
2014-10-06,0.043618,-0.658494,0.92001,-0.317017,0.436807
2014-10-14,0.01497,-0.713636,0.900544,-0.354489,0.423935
2014-10-21,0.049815,-0.701133,0.973454,-0.340515,0.483205
2014-10-28,0.049635,-0.658963,0.933,-0.310492,0.45963
2014-11-07,0.042569,-0.723326,0.946119,-0.327684,0.449972
2014-11-17,0.042301,-0.747173,0.996,-0.359731,0.474893
2014-11-24,0.042207,-0.734549,0.925451,-0.37096,0.451045
2014-12-05,0.088608,-0.746227,1.080243,-0.346102,0.551016
2014-12-12,0.058006,-0.580178,0.80692,-0.273643,0.423964
2014-12-19,0.303913,-0.421018,1.135122,-0.049495,0.683133
2014-12-29,0.306687,-0.361578,1.085638,-0.022119,0.640179
2015-01-09,0.247106,-0.421701,1.044094,-0.098669,0.63232
2015-01-16,0.216929,-0.513453,0.989574,-0.148613,0.629515
2015-01-26,0.209441,-0.513104,1.107442,-0.168356,0.624692
2015-02-05,0.208263,-0.565759,1.111827,-0.185665,0.634315
2015-02-12,0.185666,-0.539328,1.068333,-0.189747,0.598189
2015-02-20,0.149217,-0.548155,1.037815,-0.209822,0.56437
2015-03-04,0.160477,-0.559707,1.097967,-0.207872,0.602733
2015-03-11,0.097836,-0.546813,0.859527,-0.222605,0.448919
2015-03-18,0.057256,-0.555929,0.751763,-0.242213,0.399282
2015-03-25,0.115611,-0.53559,0.831366,-0.220574,0.469436
2015-04-06,0.174394,-0.490905,0.966076,-0.178755,0.583482
2015-04-13,0.135311,-0.562674,1.020533,-0.217534,0.56095
2015-04-20,0.196212,-0.469091,0.99184,-0.148455,0.583972
2015-04-27,0.164868,-0.472983,0.937214,-0.149889,0.545874
2015-05-07,0.124638,-0.434264,0.807603,-0.153098,0.467563
2015-05-14,0.110719,-0.469069,0.751443,-0.169182,0.419485
2015-05-21,0.1316,-0.446664,0.806326,-0.176074,0.458184
2015-06-03,0.085386,-0.526696,0.78275,-0.208203,0.416549
2015-06-10,0.134486,-0.456434,0.76599,-0.155198,0.447873
2015-06-17,0.028924,-0.533076,0.709306,-0.260772,0.355969
2015-06-24,0.129263,-0.419329,0.786,-0.144926,0.439714
2015-07-06,0.13305,-0.421837,0.761334,-0.148506,0.433217
2015-07-13,0.098793,-0.396938,0.670601,-0.157874,0.36352
2015-07-20,0.097351,-0.445888,0.684222,-0.180908,0.391461
2015-07-27,0.082001,-0.494026,0.739627,-0.209024,0.389143
2015-08-06,0.135206,-0.442282,0.805032,-0.151735,0.492034
2015-08-13,0.164841,-0.432554,0.936227,-0.154246,0.513145
2015-08-20,0.137499,-0.442797,0.861163,-0.166015,0.47625
2015-08-27,0.011154,-0.609741,0.688117,-0.318652,0.317667
2015-09-09,-0.062036,-0.684277,0.581897,-0.365398,0.266986
2015-09-16,-0.08132,-0.689699,0.60416,-0.388375,0.253002
2015-09-23,-0.060212,-0.652946,0.602086,-0.362574,0.245613
2015-10-05,-0.104835,-0.732697,0.597892,-0.420532,0.234372
2015-10-13,-0.095692,-0.631696,0.555081,-0.368027,0.199723
2015-10-20,-0.090154,-0.591843,0.541633,-0.369389,0.213742
2015-10-27,-0.051604,-0.598705,0.626013,-0.338154,0.268685
2015-11-06,-0.011439,-0.613404,0.730255,-0.31456,0.33813
2015-11-16,0.019838,-0.607325,0.71888,-0.296346,0.365612
2015-11-23,0.016039,-0.615336,0.787173,-0.315351,0.384311
2015-12-04,0.019691,-0.604182,0.752713,-0.31683,0.38495
2015-12-11,0.029726,-0.590306,0.814655,-0.307686,0.398495
2015-12-18,0.060777,-0.622914,0.865228,-0.306765,0.447311
2015-12-28,0.219176,-0.483684,1.086368,-0.151148,0.629064
2016-01-08,0.209474,-0.488837,0.973203,-0.148735,0.578552
2016-01-15,0.137131,-0.419209,0.786059,-0.149544,0.449591
2016-01-25,0.061127,-0.554973,0.791967,-0.249884,0.412153
2016-02-04,0.036628,-0.547796,0.745286,-0.277144,0.368881
2016-02-11,-0.004054,-0.578756,0.665151,-0.298133,0.324349
2016-02-19,-0.014644,-0.589824,0.633013,-0.315882,0.313303
2016-03-02,-0.119436,-0.763679,0.539777,-0.450365,0.201413
2016-03-09,-0.16067,-0.752892,0.546797,-0.462915,0.191719
2016-03-16,-0.171196,-0.800318,0.545164,-0.501268,0.184154
2016-03-23,-0.289128,-0.926245,0.418801,-0.61492,0.055864
2016-04-04,-0.314097,-0.936697,0.43598,-0.64244,0.052947
2016-04-11,-0.312371,-0.953161,0.392087,-0.641056,0.057913
2016-04-18,-0.276365,-0.895566,0.484473,-0.614186,0.086771
2016-04-25,-0.230305,-0.854493,0.506149,-0.549412,0.127421
2016-05-05,-0.076387,-0.729999,0.65175,-0.403825,0.29218
2016-05-12,-0.020679,-0.611212,0.616122,-0.321227,0.297516
2016-05-19,-0.098453,-0.713556,0.535302,-0.405716,0.210705
2016-05-26,0.043787,-0.572724,0.770198,-0.268458,0.379057
2016-06-08,-0.086615,-0.625321,0.528569,-0.375316,0.205574
2016-06-15,-0.105511,-0.675514,0.550493,-0.405322,0.20443
2016-06-22,-0.160946,-0.731587,0.504543,-0.46083,0.155178
2016-07-05,-0.186902,-0.77912,0.496444,-0.484812,0.138309
2016-07-12,-0.294458,-0.853159,0.349314,-0.574385,0.009549
2016-07-19,-0.327155,-0.912123,0.328981,-0.618323,-0.005141
2016-07-26,-0.263406,-0.806238,0.365992,-0.547504,0.045688
2016-08-05,-0.327006,-0.917878,0.332949,-0.634437,-0.006323
2016-08-12,-0.262482,-0.853064,0.412595,-0.576897,0.057489
2016-08-19,-0.193089,-0.802665,0.467901,-0.510165,0.134661
2016-08-26,-0.284523,-0.871237,0.332207,-0.597179,0.01066
2016-09-08,-0.216622,-0.843508,0.456113,-0.530006,0.106931
2016-09-15,-0.184684,-0.782062,0.499339,-0.489257,0.149107
2016-09-22,-0.07128,-0.612125,0.571809,-0.368984,0.235315
2016-10-04,-0.052831,-0.611396,0.558657,-0.338851,0.256759
2016-10-12,-0.05825,-0.595521,0.554511,-0.336055,0.244975
2016-10-19,-0.02111,-0.565216,0.61254,-0.298601,0.294363
2016-10-26,-0.06301,-0.631507,0.572249,-0.356457,0.25994
2016-11-07,0.044884,-0.483114,0.679022,-0.215585,0.339937
2016-11-15,-0.00359,-0.505429,0.549158,-0.253853,0.274011
2016-11-22,-0.05493,-0.542273,0.51515,-0.304138,0.222019
2016-12-05,-0.044263,-0.560713,0.51715,-0.303958,0.221334
2016-12-12,-0.061174,-0.581721,0.486277,-0.332057,0.201821
2016-12-19,-0.207799,-0.724291,0.380543,-0.477623,0.080578
2016-12-27,-0.233167,-0.756491,0.326773,-0.488841,0.055984
2017-01-09,-0.170001,-0.702214,0.385215,-0.43183,0.109441
2017-01-17,-0.045213,-0.518407,0.416461,-0.291972,0.190407
2017-01-24,-0.041204,-0.529948,0.494036,-0.287228,0.219157
2017-02-03,0.004072,-0.457968,0.494245,-0.236538,0.245401
2017-02-10,-0.030205,-0.490358,0.471446,-0.268493,0.211245
2017-02-17,-0.099384,-0.552935,0.424116,-0.327454,0.147689
2017-03-02,-0.106471,-0.624135,0.448803,-0.348571,0.151779
2017-03-09,0.044759,-0.469929,0.576682,-0.204758,0.302597
2017-03-16,0.045125,-0.476167,0.630831,-0.227707,0.310854
2017-03-23,0.030396,-0.481825,0.609359,-0.23066,0.317069
2017-04-04,-0.044216,-0.597824,0.541771,-0.319085,0.239004
2017-04-11,-0.031676,-0.521695,0.538459,-0.271453,0.236302
2017-04-18,0.002673,-0.516546,0.571193,-0.270349,0.280029
2017-04-25,-0.00691,-0.506986,0.580267,-0.268209,0.26947
2017-05-05,-0.043005,-0.514628,0.476702,-0.285879,0.209394
2017-05-12,-0.026506,-0.483497,0.484615,-0.256165,0.229461
2017-05-19,0.003949,-0.468207,0.542048,-0.232614,0.249799
2017-05-26,-0.020107,-0.490087,0.530345,-0.263106,0.231483
2017-06-08,-0.096979,-0.578434,0.435127,-0.342374,0.146525
2017-06-15,-0.101231,-0.570175,0.445141,-0.345261,0.158554
2017-06-22,-0.069979,-0.54104,0.482689,-0.316707,0.177998
2017-07-05,-0.115026,-0.569319,0.432554,-0.367195,0.143489
2017-07-12,-0.059167,-0.480528,0.457457,-0.288029,0.17334
2017-07-19,-0.014874,-0.47828,0.47844,-0.253865,0.228325
2017-07-26,-0.044683,-0.497442,0.458877,-0.272726,0.210337
2017-08-07,-0.068983,-0.52702,0.432515,-0.304093,0.172159
2017-08-14,-0.120835,-0.573505,0.384958,-0.357177,0.130368
2017-08-21,-0.047389,-0.516687,0.467218,-0.293351,0.212593
2017-08-28,-0.050567,-0.543429,0.501147,-0.306245,0.222266
2017-09-08,-0.006784,-0.497307,0.578129,-0.271167,0.269119
2017-09-15,0.028787,-0.499688,0.6685,-0.243798,0.325501
2017-09-22,-0.059889,-0.56104,0.531266,-0.322251,0.221366
2017-10-04,-0.024722,-0.541182,0.554145,-0.287377,0.258087
2017-10-12,0.248465,-0.277088,0.804456,-0.000349,0.525496
2017-10-19,0.264124,-0.230863,0.8421,0.007025,0.548992
2017-10-26,0.168728,-0.34209,0.762201,-0.09262,0.446058
2017-11-07,0.148073,-0.33762,0.687913,-0.11217,0.409392
2017-11-14,0.075381,-0.401922,0.645604,-0.163254,0.357517
2017-11-21,0.162981,-0.357112,0.720744,-0.119793,0.444419
2017-12-04,0.136663,-0.369237,0.703572,-0.121865,0.418645
2017-12-11,0.108216,-0.387911,0.699131,-0.153554,0.365748
2017-12-18,0.081161,-0.447851,0.652697,-0.18543,0.360012
2017-12-26,0.064407,-0.440359,0.63666,-0.208555,0.345552
2018-01-08,0.063205,-0.425191,0.609855,-0.189453,0.329467
2018-01-16,0.050614,-0.40767,0.590737,-0.197625,0.307125
2018-01-23,0.058568,-0.399253,0.613072,-0.178877,0.330891
2018-02-02,0.013886,-0.450864,0.53803,-0.223554,0.268735
2018-02-09,-0.024969,-0.49478,0.471877,-0.26527,0.2207
2018-02-16,-0.009153,-0.45686,0.542085,-0.239365,0.256187
2018-02-26,0.013718,-0.473438,0.539939,-0.228154,0.273773
2018-03-08,0.049576,-0.40584,0.545888,-0.194708,0.314343
2018-03-15,-0.033928,-0.543702,0.539239,-0.299138,0.229561
2018-03-22,-0.024576,-0.555782,0.548475,-0.291113,0.263487
2018-04-03,-0.043322,-0.571712,0.556979,-0.316766,0.227232
2018-04-10,0.009911,-0.550498,0.616128,-0.276432,0.299929
2018-04-17,0.006176,-0.518813,0.658625,-0.270957,0.311633
2018-04-24,-0.112528,-0.648136,0.441522,-0.386745,0.14595
2018-05-04,-0.123886,-0.631668,0.483365,-0.372847,0.166128
2018-05-11,-0.102896,-0.653673,0.471334,-0.367862,0.182039
2018-05-18,-0.173652,-0.680081,0.38447,-0.448213,0.109586
2018-05-25,-0.213376,-0.749489,0.371421,-0.48158,0.059858
2018-06-07,-0.221313,-0.748779,0.31928,-0.492584,0.053981
2018-06-14,-0.128117,-0.704884,0.502856,-0.410928,0.17057
2018-06-21,-0.207629,-0.773198,0.468487,-0.505683,0.09445
2018-07-03,-0.235087,-0.797986,0.401904,-0.519858,0.075448
2018-07-11,-0.252174,-0.816474,0.361175,-0.547895,0.052826
2018-07-18,-0.248868,-0.815855,0.447648,-0.542386,0.084437
2018-07-25,-0.259305,-0.864977,0.418225,-0.577949,0.076713
2018-08-06,-0.222993,-0.825705,0.456318,-0.528597,0.103574
2018-08-13,-0.289971,-0.867926,0.376876,-0.601725,0.01936
2018-08-20,-0.335506,-0.918177,0.355563,-0.648166,0.012277
2018-08-27,-0.45517,-1.049185,0.215726,-0.759988,-0.135677
2018-09-07,-0.472987,-1.087833,0.200427,-0.772063,-0.141577
2018-09-14,-0.413641,-1.010949,0.224984,-0.731724,-0.113102
2018-09-21,-0.576597,-1.208472,0.088342,-0.887098,-0.248977
2018-10-03,-0.519167,-1.105622,0.182243,-0.817939,-0.187334
2018-10-11,-0.4306,-1.047959,0.264896,-0.733319,-0.098365
2018-10-18,-0.412459,-1.056962,0.309428,-0.742883,-0.085937
