asOfDate,0-1Y,1-3Y,3-5Y,5-7Y,7-10Y,10-20Y,20+Y
2017-04-26,260630877200,738730570500,453931092100,292771893900,84874290600,91015200700,524589037800
2017-05-31,303231728100,713552624200,458840674700,254711242500,95446807600,106004246700,514555639000
2017-06-28,303231728100,718307624200,454085674700,258079755900,92078294200,106004246700,514555639000
2017-07-26,320691456200,709529273100,441212803900,261133162600,92529932900,106004246700,515437319800
2017-08-30,343613472800,719132974400,442440216800,214624552100,106055606200,100720746700,519950626200
2017-09-27,361348506900,701875834300,441119704800,215467170100,106255606200,100720746700,519950626200
2017-10-25,369408657200,694756284900,436731085000,218915189000,106255606200,100720746700,519950626200
2017-11-29,407801916800,654162071800,460877337500,188114699800,116265751200,88113246700,521899676600
2017-12-27,424849410600,636193755100,457200334800,189619109300,116862662000,88113246700,521699676600
2018-01-31,411043403200,622699491400,456822603900,199231326600,118703079100,86399009200,522106065600
2018-02-28,418485663100,611937755100,467711907500,173195255400,120438683500,102094009400,511241704900
2018-03-28,418485663100,626728242700,452921419900,180265308300,113368630600,102094009400,511241704900
2018-04-25,409629592000,624891772400,453106957400,178610744200,121006633000,94392009400,511263992000
2018-05-30,419277510500,623232178900,426794496000,160857320000,126475513500,112241266000,497512890700
2018-06-27,410855648900,619173019000,429923797200,158927890500,128386343500,112241266000,497512890700
2018-07-25,402981770000,607752636800,430742918800,158557294400,128471853100,112241266000,497567305800
2018-08-29,423832934000,576339781700,437599950000,127889445400,130016045800,107032458000,499987217200
2018-09-26,417574560300,567728220200,440782666800,128159472000,130016045800,107032458000,499987217200
2018-10-31,403355352500,541133011200,442109620900,124759933400,130016045800,107032458000,499987217200
2018-11-28,408772926400,561449425300,398078932700,116367215600,137987894400,104444458000,503861901900
2018-12-26,392250609700,561679676300,400952936100,116197199000,138953857900,104444458000,503861901900
2019-01-30,385055915700,555907726100,397657644200,121467990000,130296060700,104108156800,503861901900
2019-02-27,379173365200,559494199300,369348569700,110230104400,135343539700,112198683900,495081993300
2019-03-27,383109789400,549669331500,370489603600,107886891500,135343539700,112198683900,495466999300
2019-04-24,377397556900,537383831600,369324400300,104497052100,143611874400,103933683900,495469222400
2019-05-29,368630723300,537750857100,327543752600,105780121000,146395529300,131078426100,474796975000
2019-06-26,359016454800,537446488900,331128896500,105773143700,147551057300,131078426100,474796975000
2019-07-31,338319851500,524811265000,332394243800,107664862100,147741465300,131078426100,474933195700
2019-08-28,352789567000,542939239900,286558438600,113670295500,163232316600,153827381400,458330737200
