asOfDate,wam_years
2011-04-01,6.3394026498559555
2011-05-01,6.327146116509672
2011-06-01,6.259043740132039
2011-07-01,6.22686709401477
2011-08-01,6.166021544362703
2011-09-01,6.088773745409273
2011-10-01,6.284880543793953
2011-11-01,6.650872060207875
2011-12-01,6.93852272983469
2012-01-01,7.178247714341767
2012-02-01,7.578565800207601
2012-03-01,7.856499178924332
2012-04-01,8.183039998642997
2012-05-01,8.512642660707298
2012-06-01,8.780252431231492
2012-07-01,9.076378152788443
2012-08-01,9.446175683508878
2012-09-01,9.667569670907046
2012-10-01,9.922873497479108
2012-11-01,10.13372977497094
2012-12-01,10.402115559951943
2013-01-01,10.348988778749357
2013-02-01,10.354624530403772
2013-03-01,10.3382131577937
2013-04-01,10.313345232945752
2013-05-01,10.285588631055319
2013-06-01,10.274153167080048
2013-07-01,10.234143314702138
2013-08-01,10.218069532558786
2013-09-01,10.207373770966475
2013-10-01,10.185663820414339
2013-11-01,10.177878025958602
2013-12-01,10.156260694344077
2014-01-01,10.13647547282158
2014-02-01,10.104778843030303
2014-03-01,10.090018657021618
2014-04-01,10.03932562898943
2014-05-01,9.993109337878568
2014-06-01,9.948904202425254
2014-07-01,9.887703396123547
2014-08-01,9.832402841500974
2014-09-01,9.777829826816232
2014-10-01,9.702495903243053
2014-11-01,9.626274778592428
2014-12-01,9.53045441473114
2015-01-01,9.453795159296023
2015-02-01,9.377149075685033
2015-03-01,9.300493631080354
2015-04-01,9.20467663933316
2015-05-01,9.136165317194154
2015-06-01,9.059507576054147
2015-07-01,8.963685477578988
2015-08-01,8.893540983432343
2015-09-01,8.797720118597187
2015-10-01,8.721060296557486
2015-11-01,8.646052631928775
2015-12-01,8.550228294263158
2016-01-01,8.4735697072399
2016-02-01,8.424881834226532
2016-03-01,8.415074514595842
2016-04-01,8.391335046811648
2016-05-01,8.43336669536618
2016-06-01,8.39216948206189
2016-07-01,8.363995506745065
2016-08-01,8.325617933854286
2016-09-01,8.248958111814586
2016-10-01,8.185988148041565
2016-11-01,8.194928073945986
2016-12-01,8.118070188133913
2017-01-01,8.076627137569183
2017-02-01,8.050419652165617
2017-03-01,7.991703990015608
2017-04-01,7.944246297745684
2017-05-01,8.000935079516815
2017-06-01,7.924275257477118
2017-07-01,7.882142725739656
2017-08-01,7.902792109507012
2017-09-01,7.832357227773448
2017-10-01,7.776946740428957
2017-11-01,7.754940997039828
2017-12-01,7.696602581707653
2018-01-01,7.722630711418544
2018-02-01,7.8128895439827275
2018-03-01,7.73622972194303
2018-04-01,7.73334109895669
2018-05-01,7.840710281966679
2018-06-01,7.836624372094913
2018-07-01,7.848190263546597
2018-08-01,7.940708386214104
2018-09-01,7.921163130474116
2018-10-01,7.97532051146007
2018-11-01,8.04759111475803
2018-12-01,8.042122092414706
2019-01-01,8.019250604819913
2019-02-01,8.187541835367629
2019-03-01,8.153090907457388
2019-04-01,8.16260539667164
2019-05-01,8.380183900718038
2019-06-01,8.35703085782649
2019-07-01,8.412638352514021
2019-08-01,8.594433180372373
2019-09-01,8.5401827652282
2019-10-01,8.286995910635861
2019-11-01,8.237464591256071
2019-12-01,7.984244945641139
2020-01-01,7.709248748549753
2020-02-01,7.703232067661451
2020-03-01,7.452932879399727
2020-04-01,7.254875292477813
2020-05-01,7.316876533392533
2020-06-01,7.247999163856975
2020-07-01,7.20065025690178
2020-08-01,7.348311812465756
2020-09-01,7.331543344069329
2020-10-01,7.260719396199737
2020-11-01,7.292907785355122
2020-12-01,7.269851415520068
2021-01-01,7.257809159359222
2021-02-01,7.331927814720954
2021-03-01,7.388142493392171
2021-04-01,7.3666683094697945
2021-05-01,7.499241835697086
2021-06-01,7.518801108296449
2021-07-01,7.466921446004951
2021-08-01,7.533354380264366
2021-09-01,7.501754852124392
2021-10-01,7.480684522169453
2021-11-01,7.569149289528304
2021-12-01,7.529605958292718
2022-01-01,7.501916253364495
2022-02-01,7.607661896831041
2022-03-01,7.588607528819266
2022-04-01,7.5969203549574305
2022-05-01,7.6921665156905075
2022-06-01,7.653191889509319
2022-07-01,7.660788955376988
2022-08-01,7.798446792179124
2022-09-01,7.756837734075018
2022-10-01,7.772830392545416
2022-11-01,7.908049925960202
2022-12-01,7.859540747346126
2023-01-01,7.881884061674674
2023-02-01,7.9959907335604345
2023-03-01,8.011201956223049
2023-04-01,8.049777328765613
2023-05-01,8.235672137706066
2023-06-01,8.196570829596661
2023-07-01,8.2291614518847
2023-08-01,8.357334839580174
2023-09-01,8.3916053165659
2023-10-01,8.401549230626822
2023-11-01,8.44203810291821
2023-12-01,8.46497081098684
2024-01-01,8.548106143095394
2024-02-01,8.556111453735115
2024-03-01,8.579631314310863
2024-04-01,8.662396916102798
2024-05-01,8.719033394901116
2024-06-01,8.746935686733003
2024-07-01,8.803909270732893
2024-08-01,8.822767016697531
2024-09-01,8.802186647637786
2024-10-01,8.774416132804992
2024-11-01,8.859838142330753
2024-12-01,8.861270041919234
2025-01-01,8.859934712556173
2025-02-01,8.944997110415455
2025-03-01,8.944852499782419
2025-04-01,8.9792001420232
2025-05-01,9.030016400569844
2025-06-01,9.003669211290442
2025-07-01,8.984338163234607
2025-08-01,9.058540978370267
2025-09-01,9.020960076511605
2025-10-01,8.963234378427375
2025-11-01,8.97470358425826
2025-12-01,8.859083359995667
